year,doy,hod,coszen,PPFD,Tair,precip,VPD,Patm,u,Qle,NEE,GPP,LAI,CO2,O2,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,eps_s,albedo_l,albedo_ws,albedo_ds,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,max_leaf_width,canopy_intercept,P50,P88,ratiocrit,kmax,sfw,nfc,npwp,g1,ground_area,Ztop,Zbottom,Ps,Psie,hyds,theta_sat,fc,pwp,bch,r_soil
[-],[-],[h],[-],[umol m-2 s-1],[deg C],[mm d-1],[kPa],[kPa],[m s-1],[W m-2],[umol m-2 s-1],[umol m-2 s-1],[m2 m-2],[Pa],[kPa],[umol s-1 m-2],[Pa],[deg C],[-],[umol s-1 m-2],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[m],[-],[-MPa],[-MPa],[-],[mmol m-2 s-1 MPa-1],[-],[m3 m-3],[m3 m-3],[kPa0.5],[m2],[m],[m],[MPa],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-],[-]
2003,2,8.0,0.17366007586870022,126.165985,14.600006,9.6,0.05,100.24911999999999,2.4090000000000003,35.09662,-2.3614964,5.153404,1.4878085598966593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2,8.5,0.24656925033892704,157.7313,14.5,19.2,0.05,100.24875,2.985,45.083890000000004,-6.788317999999999,9.5750265,1.4878085598966593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2,9.0,0.3110932237207653,185.4152,14.5,0.0,0.05,100.24875,3.488,22.833551,-5.821077,8.607785,1.4878085598966593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2,9.5,0.3661279729402269,207.66086,14.700012,0.0,0.05,100.2495,3.427,30.11775,-6.0113707000000005,8.808471,1.4878085598966593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2,10.0,0.4107318381796514,223.2043,14.700012,0.0,0.05,100.2495,4.452,30.11775,-6.114722,8.911822,1.4878085598966593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2,10.5,0.4441416349382648,231.15652000000003,15.200012,0.0,0.05,100.25135,4.5360000000000005,49.79945,-6.805455,9.628405,1.4878085598966593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2,11.0,0.4657857123305813,231.06083999999998,15.200012,0.0,0.05,100.25135,4.9,49.79945,-6.7817082,9.604657000000001,1.4878085598966593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2,11.5,0.4752937341915465,222.92257999999998,15.5,0.0,0.055241745,100.25246,4.055,28.53983,-6.758951700000001,9.597321,1.4878085598966593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2,12.0,0.4725030156309976,207.20934,15.5,9.6,0.078758135,100.25246,4.081,28.53983,-6.6507545,9.489123,1.4878085598966593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2,12.5,0.4574613066172391,184.81964,15.800018,0.0,0.09671682,100.25356,4.565,22.46997600000001,-6.525472,9.379195,1.4878085598966593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
